connectivity,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,policy,runs,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs
good,1,8,0.05,0.15,domain_aware,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.266667,478.883333,0.016667,391.316667,0.001048,0.85
good,1,8,0.05,0.15,last_write_wins,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.266667,478.883333,0.016667,391.316667,0.001048,0.85
good,1,8,0.05,0.15,manual_review_all,60,63.333333,0.066667,0.0,0.0,0.0,0.066667,0.0,63.2,478.7,0.016667,391.016667,0.001047,0.85
good,1,8,0.05,0.3,cloud_preferred,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.166667,478.533333,0.0,375.166667,0.000989,0.866667
good,1,8,0.05,0.3,display_preferred,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.233333,478.933333,0.0,375.433333,0.00099,0.866667
good,1,8,0.05,0.3,domain_aware,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.183333,478.65,0.0,375.366667,0.00099,0.866667
good,1,8,0.05,0.3,last_write_wins,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.183333,478.65,0.0,375.366667,0.00099,0.866667
good,1,8,0.05,0.3,manual_review_all,60,63.333333,0.066667,0.0,0.0,0.0,0.066667,0.0,63.166667,478.533333,0.0,375.166667,0.000989,0.866667
good,1,8,0.05,0.5,cloud_preferred,60,63.333333,0.033333,0.033333,0.033333,0.033333,0.0,0.0,63.25,478.866667,0.0,375.983333,0.001018,0.516667
good,1,8,0.05,0.5,display_preferred,60,63.333333,0.033333,0.033333,0.033333,0.033333,0.0,0.0,63.283333,478.916667,0.0,376.033333,0.001018,0.516667
good,1,8,0.05,0.5,domain_aware,60,63.333333,0.033333,0.033333,0.0,0.0,0.033333,0.033333,63.25,478.866667,0.0,375.983333,0.001018,0.516667
good,1,8,0.05,0.5,last_write_wins,60,63.333333,0.033333,0.033333,0.033333,0.033333,0.0,0.0,63.266667,478.883333,0.0,376.0,0.001018,0.516667
good,1,8,0.05,0.5,manual_review_all,60,63.333333,0.033333,0.033333,0.0,0.0,0.033333,0.033333,63.25,478.866667,0.0,375.983333,0.001018,0.516667
good,1,8,0.1,0.15,cloud_preferred,60,63.333333,0.116667,0.0,0.116667,0.0,0.0,0.0,63.166667,478.233333,0.016667,405.35,0.001069,0.833333
good,1,8,0.1,0.15,display_preferred,60,63.333333,0.116667,0.0,0.116667,0.0,0.0,0.0,63.283333,479.033333,0.016667,405.683333,0.00107,0.833333
good,1,8,0.1,0.15,domain_aware,60,63.333333,0.116667,0.0,0.116667,0.0,0.0,0.0,63.183333,478.25,0.016667,405.366667,0.001069,0.833333
good,1,8,0.1,0.15,last_write_wins,60,63.333333,0.116667,0.0,0.116667,0.0,0.0,0.0,63.183333,478.25,0.016667,405.366667,0.001069,0.833333
good,1,8,0.1,0.15,manual_review_all,60,63.333333,0.116667,0.0,0.0,0.0,0.116667,0.0,63.166667,478.233333,0.016667,405.35,0.001069,0.833333
good,1,8,0.1,0.3,cloud_preferred,60,63.333333,0.083333,0.016667,0.083333,0.016667,0.0,0.0,63.1,477.683333,0.033333,382.533333,0.001036,0.7
good,1,8,0.1,0.3,display_preferred,60,63.333333,0.083333,0.016667,0.083333,0.016667,0.0,0.0,63.183333,478.116667,0.033333,383.05,0.001038,0.7
good,1,8,0.1,0.3,domain_aware,60,63.333333,0.083333,0.016667,0.066667,0.0,0.016667,0.016667,63.133333,477.783333,0.033333,382.633333,0.001037,0.7
good,1,8,0.1,0.3,last_write_wins,60,63.333333,0.083333,0.016667,0.083333,0.016667,0.0,0.0,63.133333,477.783333,0.033333,382.633333,0.001037,0.7
good,1,8,0.1,0.3,manual_review_all,60,63.333333,0.083333,0.016667,0.0,0.0,0.083333,0.016667,63.1,477.683333,0.033333,382.533333,0.001036,0.7
good,1,8,0.1,0.5,cloud_preferred,60,63.333333,0.15,0.1,0.15,0.1,0.0,0.0,63.15,478.133333,0.0,379.85,0.001038,0.9
good,1,8,0.1,0.5,display_preferred,60,63.333333,0.15,0.1,0.15,0.1,0.0,0.0,63.3,478.833333,0.0,380.1,0.001038,0.9
good,1,8,0.1,0.5,domain_aware,60,63.333333,0.15,0.1,0.05,0.0,0.1,0.1,63.166667,478.266667,0.0,379.866667,0.001038,0.9
good,1,8,0.1,0.5,last_write_wins,60,63.333333,0.15,0.1,0.15,0.1,0.0,0.0,63.25,478.616667,0.0,380.033333,0.001038,0.9
good,1,8,0.1,0.5,manual_review_all,60,63.333333,0.15,0.1,0.0,0.0,0.15,0.1,63.15,478.133333,0.0,379.85,0.001038,0.9
good,1,20,0.01,0.15,cloud_preferred,60,158.666667,0.416667,0.066667,0.416667,0.066667,0.0,0.0,158.116667,1192.55,0.016667,982.066667,0.00265,1.383333
good,1,20,0.01,0.15,display_preferred,60,158.666667,0.416667,0.066667,0.416667,0.066667,0.0,0.0,158.533333,1194.983333,0.016667,984.216667,0.002655,1.383333
good,1,20,0.01,0.15,domain_aware,60,158.666667,0.416667,0.066667,0.35,0.0,0.066667,0.066667,158.25,1193.133333,0.016667,982.616667,0.002651,1.383333
